domain,service,method,payload_type,field_path,value_type,messages_seen
clubs/VIP/progression,AppClient,UpdateCharmsProgress,Casino.UpdateCharmsProgressRequest,progress_data.trading_info.trade_token_quantity,integer,31
clubs/VIP/progression,AppClient,UpdateFame,Casino.UpdateFameRequest,fame_delta.value,string,109
clubs/VIP/progression,AppClient,UpdateFame,Casino.UpdateFameRequest,legacy_fame_delta,string,109
clubs/VIP/progression,AppClient,UpdateLoyaltyProgram,Casino.UpdateLoyaltyRequest,can_collect_points,boolean,63
clubs/VIP/progression,AppClient,UpdateLoyaltyProgram,Casino.UpdateLoyaltyRequest,is_keep_status_reached,boolean,63
clubs/VIP/progression,AppClient,UpdateLoyaltyProgram,Casino.UpdateLoyaltyRequest,loyalty_points_balance,string,63
clubs/VIP/progression,AppClient,UpdateLoyaltyProgram,Casino.UpdateLoyaltyRequest,tier,string,63
clubs/VIP/progression,AppClient,UpdateProgress,Casino.UpdateProgressRequest,econ_stats.stat[].key,integer,645
clubs/VIP/progression,AppClient,UpdateProgress,Casino.UpdateProgressRequest,econ_stats.stat[].value_double,number,645
clubs/VIP/progression,AppClient,UpdateProgress,Casino.UpdateProgressRequest,econ_stats.stat[].value_int,string,645
clubs/VIP/progression,AppClient,UpdateProgress,Casino.UpdateProgressRequest,level,string,66
clubs/VIP/progression,AppClient,UpdateProgress,Casino.UpdateProgressRequest,mini_game_event_progress.current_sum_of_bets.value,string,645
clubs/VIP/progression,AppClient,UpdateProgress,Casino.UpdateProgressRequest,mini_game_event_progress.event_id,string,645
clubs/VIP/progression,AppClient,UpdateProgress,Casino.UpdateProgressRequest,mini_game_event_progress.moves,integer,645
clubs/VIP/progression,AppClient,UpdateProgress,Casino.UpdateProgressRequest,mini_game_event_progress.required_sum_of_bets.value,string,645
clubs/VIP/progression,AppClient,UpdateProgress,Casino.UpdateProgressRequest,rewards_data.reward[].big_chips_delta.value,string,63
clubs/VIP/progression,AppClient,UpdateProgress,Casino.UpdateProgressRequest,rewards_data.reward[].charms_trade_token_delta,integer,22
clubs/VIP/progression,AppClient,UpdateProgress,Casino.UpdateProgressRequest,rewards_data.reward[].chips_delta,string,63
clubs/VIP/progression,AppClient,UpdateProgress,Casino.UpdateProgressRequest,rewards_data.reward[].collectibles_box.box_id,integer,25
clubs/VIP/progression,AppClient,UpdateProgress,Casino.UpdateProgressRequest,rewards_data.reward[].collectibles_box.box_type,integer,25
clubs/VIP/progression,AppClient,UpdateProgress,Casino.UpdateProgressRequest,rewards_data.reward[].collectibles_box.raffle_id,string,25
clubs/VIP/progression,AppClient,UpdateProgress,Casino.UpdateProgressRequest,rewards_data.reward[].collectibles_box.source,integer,25
clubs/VIP/progression,AppClient,UpdateProgress,Casino.UpdateProgressRequest,rewards_data.reward[].collectibles_box.theme_id,integer,25
clubs/VIP/progression,AppClient,UpdateProgress,Casino.UpdateProgressRequest,rewards_data.reward[].collectibles_box.type,integer,25
clubs/VIP/progression,AppClient,UpdateProgress,Casino.UpdateProgressRequest,rewards_data.reward[].collectibles_box_info.box_id,integer,25
clubs/VIP/progression,AppClient,UpdateProgress,Casino.UpdateProgressRequest,rewards_data.reward[].collectibles_box_info.box_type,integer,25
clubs/VIP/progression,AppClient,UpdateProgress,Casino.UpdateProgressRequest,rewards_data.reward[].collectibles_box_info.event_type,integer,25
