domain,service,method,rpc_type,direction,payload_type,count,decoded_count,undecoded_count,first_seen,last_seen,payload_bytes_total,payload_bytes_min,payload_bytes_max
clubs/VIP/progression,AppClient,UpdateCharmsProgress,REQUEST,in,Casino.UpdateCharmsProgressRequest,31,31,0,2026-09-01T16:03:18.983,2026-09-01T16:43:19.573,217,7,7
clubs/VIP/progression,AppClient,UpdateFame,REQUEST,in,Casino.UpdateFameRequest,109,109,0,2026-09-01T16:04:55.000,2026-09-01T16:43:34.965,1058,9,11
clubs/VIP/progression,AppClient,UpdateLoyaltyProgram,REQUEST,in,Casino.UpdateLoyaltyRequest,63,63,0,2026-09-01T16:03:17.336,2026-09-01T16:43:19.661,630,10,10
clubs/VIP/progression,AppClient,UpdateProgress,REQUEST,in,Casino.UpdateProgressRequest,651,651,0,2026-09-01T16:03:11.727,2026-09-01T16:43:34.999,251266,8,804
clubs/VIP/progression,AppServer,GetAssignmentProgress,REQUEST,out,Casino.GetAssignmentProgressRequest,3,3,0,2026-09-01T16:01:04.209,2026-09-01T16:03:08.660,4,0,4
clubs/VIP/progression,AppServer,GetAssignmentProgress,RESPONSE,in,Casino.GetAssignmentProgressResponse,3,3,0,2026-09-01T16:01:04.502,2026-09-01T16:03:08.950,66,22,22
offers/economy,AppClient,AddPersonalOffer,REQUEST,in,Casino.AddPersonalOfferRequest,1,1,0,2026-09-01T16:00:17.097,2026-09-01T16:00:17.097,1584,1584,1584
offers/economy,AppClient,ConfirmFreeGiftRound,REQUEST,in,Casino.ConfirmFreeGiftRoundRequest,1,1,0,2026-09-01T16:06:59.766,2026-09-01T16:06:59.766,8,8,8
offers/economy,AppClient,ConfirmFreeGiftRound,RESPONSE,out,Casino.ConfirmFreeGiftRoundResponse,1,1,0,2026-09-01T16:07:23.582,2026-09-01T16:07:23.582,2,2,2
offers/economy,AppClient,NotifyRewardBundles,REQUEST,in,Casino.NotifyRewardBundlesRequest,1,1,0,2026-09-01T16:00:16.625,2026-09-01T16:00:16.625,3792,3792,3792
offers/economy,AppClient,OfferTrailUpdate,REQUEST,in,Casino.OfferTrail.UpdateRequest,1,1,0,2026-09-01T16:00:17.277,2026-09-01T16:00:17.277,3379,3379,3379
offers/economy,AppClient,UpdateDirectPurchaseOffer,REQUEST,in,Casino.UpdateDirectPurchaseOfferRequest,2,2,0,2026-09-01T16:00:17.154,2026-09-01T16:12:49.750,14151,1599,12552
offers/economy,AppClient,UpdateGift,REQUEST,in,Casino.UpdateGiftRequest,5,5,0,2026-09-01T16:05:06.756,2026-09-01T16:39:52.349,273,51,60
offers/economy,AppClient,UpdateNextMysteryReward,REQUEST,in,Casino.UpdateNextMysteryRewardRequest,3,3,0,2026-09-01T16:08:54.519,2026-09-01T16:41:26.508,315,103,109
offers/economy,AppClient,UpdatePersonalOfferGlobals,REQUEST,in,Casino.UpdatePersonalOfferGlobalsRequest,1,1,0,2026-09-01T16:00:16.919,2026-09-01T16:00:16.919,20,20,20
offers/economy,AppClient,UpdateShop,REQUEST,in,Casino.UpdateShopRequest,69,69,0,2026-09-01T16:00:15.736,2026-09-01T16:43:22.404,269721,3905,3911
offers/economy,AppClient,UpdateShop,RESPONSE,out,Casino.UpdateShopResponse,69,69,0,2026-09-01T16:00:15.742,2026-09-01T16:43:22.410,1127,16,17
offers/economy,AppServer,CollectMysteryReward,REQUEST,out,Casino.EmptyRequest,63,63,0,2026-09-01T16:03:18.704,2026-09-01T16:43:21.542,0,0,0
offers/economy,AppServer,CollectMysteryReward,RESPONSE,in,Casino.CollectMysteryRewardResponse,63,63,0,2026-09-01T16:03:19.003,2026-09-01T16:43:21.817,2322,2,263
